45.9704 	EXP 	fixation: autoDraw = False
45.9704 	EXP 	grating: autoDraw = True
46.2705 	EXP 	grating: autoDraw = False
46.4930 	EXP 	New trial (rep=28, index=0): None
46.4950 	DATA 	Keypress: down
46.5063 	EXP 	fixation: autoDraw = False
46.5063 	EXP 	grating: autoDraw = False
46.5063 	EXP 	grating: ori = 0.0
46.5063 	EXP 	fixation: autoDraw = True
47.5027 	EXP 	fixation: autoDraw = False
47.5027 	EXP 	grating: autoDraw = True
47.8025 	EXP 	grating: autoDraw = False
48.0903 	EXP 	New trial (rep=29, index=0): None
48.0922 	DATA 	Keypress: up
48.1048 	EXP 	fixation: autoDraw = False
48.1048 	EXP 	grating: autoDraw = False
48.1048 	EXP 	grating: ori = -4.0
48.1048 	EXP 	fixation: autoDraw = True
49.1013 	EXP 	fixation: autoDraw = False
49.1013 	EXP 	grating: autoDraw = True
49.4011 	EXP 	grating: autoDraw = False
49.6701 	EXP 	New trial (rep=30, index=0): None
49.6715 	DATA 	Keypress: down
49.6868 	EXP 	fixation: autoDraw = False
49.6868 	EXP 	grating: autoDraw = False
49.6868 	EXP 	grating: ori = 3.0
49.6868 	EXP 	fixation: autoDraw = True
50.6695 	EXP 	grating: autoDraw = True
50.6832 	EXP 	fixation: autoDraw = False
50.9828 	EXP 	grating: autoDraw = False
51.2562 	EXP 	New trial (rep=31, index=0): None
51.2590 	DATA 	Keypress: down
51.2688 	EXP 	fixation: autoDraw = False
51.2688 	EXP 	grating: autoDraw = False
51.2688 	EXP 	grating: ori = 0.0
51.2688 	EXP 	fixation: autoDraw = True
52.2653 	EXP 	fixation: autoDraw = False
52.2653 	EXP 	grating: autoDraw = True
52.5650 	EXP 	grating: autoDraw = False
52.9003 	DATA 	Keypress: up
52.9204 	EXP 	New trial (rep=32, index=0): None
52.9338 	EXP 	fixation: autoDraw = False
52.9338 	EXP 	grating: autoDraw = False
52.9338 	EXP 	grating: ori = 0.0
52.9338 	EXP 	fixation: autoDraw = True
53.9303 	EXP 	fixation: autoDraw = False
53.9303 	EXP 	grating: autoDraw = True
54.2300 	EXP 	grating: autoDraw = False
54.4680 	EXP 	New trial (rep=33, index=0): None
54.4696 	DATA 	Keypress: up
54.4825 	EXP 	fixation: autoDraw = False
54.4825 	EXP 	grating: autoDraw = False
54.4825 	EXP 	grating: ori = 0.0
54.4825 	EXP 	fixation: autoDraw = True
55.4785 	EXP 	fixation: autoDraw = False
55.4785 	EXP 	grating: autoDraw = True
55.7784 	EXP 	grating: autoDraw = False
56.0318 	EXP 	New trial (rep=34, index=0): None
56.0340 	DATA 	Keypress: up
56.0478 	EXP 	fixation: autoDraw = False
56.0478 	EXP 	grating: autoDraw = False
56.0478 	EXP 	grating: ori = -2.0
56.0478 	EXP 	fixation: autoDraw = True
57.0305 	EXP 	grating: autoDraw = True
57.0441 	EXP 	fixation: autoDraw = False
57.3438 	EXP 	grating: autoDraw = False
57.6138 	EXP 	New trial (rep=35, index=0): None
57.6154 	DATA 	Keypress: down
57.6304 	EXP 	fixation: autoDraw = False
57.6304 	EXP 	grating: autoDraw = False
57.6304 	EXP 	grating: ori = 0.0
57.6304 	EXP 	fixation: autoDraw = True
58.6125 	EXP 	grating: autoDraw = True
58.6427 	EXP 	fixation: autoDraw = False
58.9256 	EXP 	grating: autoDraw = False
59.1456 	EXP 	New trial (rep=36, index=0): None
59.1472 	DATA 	Keypress: up
59.1625 	EXP 	fixation: autoDraw = False
59.1625 	EXP 	grating: autoDraw = False
59.1625 	EXP 	grating: ori = -1.0
59.1625 	EXP 	fixation: autoDraw = True
60.1449 	EXP 	grating: autoDraw = True
60.1580 	EXP 	fixation: autoDraw = False
60.4576 	EXP 	grating: autoDraw = False
60.7128 	EXP 	New trial (rep=37, index=0): None
60.7148 	DATA 	Keypress: down
60.7269 	EXP 	fixation: autoDraw = False
60.7269 	EXP 	grating: autoDraw = False
60.7269 	EXP 	grating: ori = 0.0
60.7269 	EXP 	fixation: autoDraw = True
61.7231 	EXP 	fixation: autoDraw = False
61.7231 	EXP 	grating: autoDraw = True
62.0229 	EXP 	grating: autoDraw = False
62.5099 	EXP 	New trial (rep=38, index=0): None
62.5120 	DATA 	Keypress: up
62.5262 	EXP 	fixation: autoDraw = False
62.5262 	EXP 	grating: autoDraw = False
62.5262 	EXP 	grating: ori = 0.0
62.5262 	EXP 	fixation: autoDraw = True
63.5246 	EXP 	grating: autoDraw = True
63.5385 	EXP 	fixation: autoDraw = False
63.8385 	EXP 	grating: autoDraw = False
64.6747 	EXP 	New trial (rep=39, index=0): None
64.6768 	DATA 	Keypress: up
64.6907 	EXP 	fixation: autoDraw = False
64.6907 	EXP 	grating: autoDraw = False
64.6907 	EXP 	grating: ori = 1.0
64.6907 	EXP 	fixation: autoDraw = True
65.6735 	EXP 	grating: autoDraw = True
65.6868 	EXP 	fixation: autoDraw = False
65.9863 	EXP 	grating: autoDraw = False
66.6065 	EXP 	New trial (rep=40, index=0): None
66.6082 	DATA 	Keypress: down
66.6218 	EXP 	fixation: autoDraw = False
66.6218 	EXP 	grating: autoDraw = False
66.6218 	EXP 	grating: ori = 2.0
66.6218 	EXP 	fixation: autoDraw = True
67.6048 	EXP 	grating: autoDraw = True
67.6180 	EXP 	fixation: autoDraw = False
67.9177 	EXP 	grating: autoDraw = False
68.1881 	EXP 	New trial (rep=41, index=0): None
68.1902 	DATA 	Keypress: down
68.2041 	EXP 	fixation: autoDraw = False
68.2041 	EXP 	grating: autoDraw = False
68.2041 	EXP 	grating: ori = 4.0
68.2041 	EXP 	fixation: autoDraw = True
69.1866 	EXP 	grating: autoDraw = True
69.2001 	EXP 	fixation: autoDraw = False
69.4997 	EXP 	grating: autoDraw = False
69.5872 	EXP 	New trial (rep=42, index=0): None
69.5891 	DATA 	Keypress: down
69.6032 	EXP 	fixation: autoDraw = False
69.6032 	EXP 	grating: autoDraw = False
69.6032 	EXP 	grating: ori = 3.0
69.6032 	EXP 	fixation: autoDraw = True
70.5857 	EXP 	grating: autoDraw = True
70.5988 	EXP 	fixation: autoDraw = False
70.8984 	EXP 	grating: autoDraw = False
71.0010 	EXP 	New trial (rep=43, index=0): None
71.0023 	DATA 	Keypress: down
71.0176 	EXP 	fixation: autoDraw = False
71.0176 	EXP 	grating: autoDraw = False
71.0176 	EXP 	grating: ori = 0.0
71.0176 	EXP 	fixation: autoDraw = True
72.0001 	EXP 	grating: autoDraw = True
72.0143 	EXP 	fixation: autoDraw = False
72.3137 	EXP 	grating: autoDraw = False
72.6195 	EXP 	New trial (rep=44, index=0): None
72.6220 	DATA 	Keypress: up
72.6339 	EXP 	fixation: autoDraw = False
72.6339 	EXP 	grating: autoDraw = False
72.6339 	EXP 	grating: ori = 0.0
72.6339 	EXP 	fixation: autoDraw = True
73.6160 	EXP 	grating: autoDraw = True
73.6461 	EXP 	fixation: autoDraw = False
73.9293 	EXP 	grating: autoDraw = False
74.1154 	EXP 	New trial (rep=45, index=0): None
74.1166 	DATA 	Keypress: up
74.1327 	EXP 	fixation: autoDraw = False
74.1327 	EXP 	grating: autoDraw = False
74.1327 	EXP 	grating: ori = -1.0
74.1327 	EXP 	fixation: autoDraw = True
75.1150 	EXP 	grating: autoDraw = True
75.1450 	EXP 	fixation: autoDraw = False
75.4278 	EXP 	grating: autoDraw = False
75.8969 	EXP 	New trial (rep=46, index=0): None
75.8983 	DATA 	Keypress: down
